User ID,Gender,Age,EstimatedSalary,Purchased
1,Female,59,68555,1
2,Male,45,145436,1
3,Female,33,37159,1
4,Female,32,130510,1
5,Female,20,126530,1
6,Female,54,100077,1
7,Female,24,55920,1
8,Female,38,112067,1
9,Female,26,87121,0
10,Female,56,89479,1
11,Male,35,109475,0
12,Male,21,39457,1
13,Female,42,86557,1
14,Female,31,97189,0
15,Female,26,129109,1
16,Male,43,98953,0
17,Female,19,72995,1
18,Male,37,60757,1
19,Male,45,29692,0
20,Male,24,65758,1
21,Male,28,81421,1
22,Female,40,123019,1
23,Male,50,156289,1
24,Female,29,90192,0
25,Male,36,118439,1
26,Female,22,75319,1
27,Male,41,132511,1
28,Female,35,105479,1
29,Male,27,86329,0
30,Female,48,142859,1
31,Male,34,110479,1
32,Female,25,81929,1
33,Male,39,125019,1
34,Female,44,137511,1
35,Male,23,79929,1
36,Female,30,93929,0
37,Male,46,149019,1
38,Female,27,87929,1
39,Male,32,103479,1
40,Female,49,151019,1
41,Male,26,85929,1
42,Female,38,121019,1
43,Male,42,135019,1
44,Female,24,83929,1
45,Male,31,101479,1
46,Female,45,143019,1
47,Male,29,91929,1
48,Female,36,113479,1
49,Male,40,129019,1
50,Female,28,89929,1
51,Female,20,126530,1
52,Female,32,130510,1
53,Female,44,137511,1
54,Female,27,87929,1
55,Female,22,75319,1
56,Female,24,55920,1
57,Male,39,125019,1
58,Male,41,132511,1
59,Female,42,86557,1
60,Female,59,68555,1
61,Female,36,113479,1
62,Female,29,90192,0
63,Male,34,110479,1
64,Male,50,156289,1
65,Male,40,129019,1
66,Male,23,79929,1
67,Male,21,39457,1
68,Male,28,81421,1
69,Female,29,90192,0
70,Male,32,103479,1
71,Female,56,89479,1
72,Female,27,87929,1
73,Female,32,130510,1
74,Female,48,142859,1
75,Female,48,142859,1
76,Female,24,83929,1
77,Female,42,86557,1
78,Female,38,121019,1
79,Male,26,85929,1
80,Male,27,86329,0
81,Female,19,72995,1
82,Male,43,98953,0
83,Male,46,149019,1
84,Female,29,90192,0
85,Male,40,129019,1
86,Male,31,101479,1
87,Female,54,100077,1
88,Male,31,101479,1
89,Female,29,90192,0
90,Female,38,112067,1
91,Female,24,55920,1
92,Female,19,72995,1
93,Male,27,86329,0
94,Female,36,113479,1
95,Male,46,149019,1
96,Female,26,87121,0
97,Male,28,81421,1
98,Male,28,81421,1
99,Male,43,98953,0
100,Female,36,113479,1
101,Female,44,137511,1
102,Female,22,75319,1
103,Male,24,65758,1
104,Female,40,123019,1
105,Male,46,149019,1
106,Female,22,75319,1
107,Male,27,86329,0
108,Female,49,151019,1
109,Female,32,130510,1
110,Male,50,156289,1
111,Male,23,79929,1
112,Female,29,90192,0
113,Female,20,126530,1
114,Female,59,68555,1
115,Male,36,118439,1
116,Male,36,118439,1
117,Female,26,129109,1
118,Female,32,130510,1
119,Female,42,86557,1
120,Female,54,100077,1
121,Male,31,101479,1
122,Female,49,151019,1
123,Female,59,68555,1
124,Female,49,151019,1
125,Male,27,86329,0
126,Female,56,89479,1
127,Male,28,81421,1
128,Male,32,103479,1
129,Female,35,105479,1
130,Male,42,135019,1
131,Male,46,149019,1
132,Female,22,75319,1
133,Female,33,37159,1
134,Female,26,129109,1
135,Female,19,72995,1
136,Female,40,123019,1
137,Male,34,110479,1
138,Male,36,118439,1
139,Female,24,55920,1
140,Male,39,125019,1
141,Male,26,85929,1
142,Male,28,81421,1
143,Female,49,151019,1
144,Male,40,129019,1
145,Male,34,110479,1
146,Male,45,145436,1
147,Female,27,87929,1
148,Male,34,110479,1
149,Female,54,100077,1
150,Male,46,149019,1
151,Female,29,90192,0
152,Female,19,72995,1
153,Female,32,130510,1
154,Female,36,113479,1
155,Female,27,87929,1
156,Female,38,112067,1
157,Male,24,65758,1
158,Male,46,149019,1
159,Female,40,123019,1
160,Female,40,123019,1
161,Female,20,126530,1
162,Female,38,112067,1
163,Female,26,129109,1
164,Female,48,142859,1
165,Female,22,75319,1
166,Male,29,91929,1
167,Female,49,151019,1
168,Female,24,83929,1
169,Female,59,68555,1
170,Male,43,98953,0
171,Male,43,98953,0
172,Male,23,79929,1
173,Female,49,151019,1
174,Female,38,121019,1
175,Female,54,100077,1
176,Male,32,103479,1
177,Male,42,135019,1
178,Male,31,101479,1
179,Female,19,72995,1
180,Male,27,86329,0
181,Female,26,129109,1
182,Female,44,137511,1
183,Male,29,91929,1
184,Female,32,130510,1
185,Female,48,142859,1
186,Male,23,79929,1
187,Female,28,89929,1
188,Female,26,129109,1
189,Female,38,121019,1
190,Female,59,68555,1
191,Male,40,129019,1
192,Male,50,156289,1
193,Female,48,142859,1
194,Male,23,79929,1
195,Female,33,37159,1
196,Female,26,129109,1
197,Female,48,142859,1
198,Female,38,112067,1
199,Female,36,113479,1
200,Male,45,145436,1
